Endogenous YAP,Endogenous YAP,Exogenous YAP,Exogenous YAP
0.3,glass,0.3,glass
1.21089714,1.26293951,0.991589332,1.647499473
1.725092538,1.233652594,1.010977101,1.681027951
1.371934647,1.355913775,1.090396837,1.638692922
1.969843323,1.559071616,1.078783352,1.595700057
1.512904569,0.851248917,0.956439803,1.508271845
0.795930832,0.841450293,1.082090516,1.724219338
1.562141417,0.773555832,1.171652501,1.653463038
1.06074114,1.12273618,1.068608675,1.098813834
1.726624936,1.162038139,1.198474323,1.201981563
1.144136165,1.365643716,1.160362689,1.185751862
0.8562488,1.623885752,1.11005515,1.242782237
1.381895923,1.762570242,1.265723094,1.19701233
1.61143424,1.836855669,1.266284788,1.112581441
1.466950372,1.195348802,1.263742092,1.092874288
1.51586638,1.977292265,1.52177781,1.019315489
1.88,1.924160951,1.597953767,1.024591798
0.89,1.433116991,1.695435216,1.106920872
,0.732900382,1.716824677,1.014081907
,1.921521724,1.735943941,1.013628353
,,1.66,0.78
,,1.57,
,,0.75,
