Endogenous YAP,Endogenous YAP,Exogenous YAP,Exogenous YAP,Endogenous YAP,Exogenous YAP
0.3 kPa (PDMS),75 GPa (glass),0.3 kPa (PDMS),75 GPa (glass),48 kPa (PDMS),48 kPa (PDMS)
1.21089714,1.26293951,0.991589332,1.647499473,1.32,1.44216334
1.725092538,1.233652594,1.010977101,1.681027951,1.32379948,1.61351958
1.371934647,1.355913775,1.090396837,1.638692922,1.29765865,1.50580446
1.969843323,1.559071616,1.078783352,1.595700057,1.33361133,1.75695406
1.512904569,0.851248917,0.956439803,1.508271845,1.24916343,1.01779631
0.795930832,0.841450293,1.082090516,1.724219338,1.27290355,1.04496661
1.562141417,0.773555832,1.171652501,1.653463038,1.59388196,1.04978156
1.06074114,1.12273618,1.068608675,1.098813834,1.2696945,1.03668312
1.726624936,1.162038139,1.198474323,1.201981563,1.26990955,1.06506983
1.144136165,1.365643716,1.160362689,1.185751862,1.28881837,1.03823086
0.8562488,1.623885752,1.11005515,1.242782237,1.32007026,1.06634444
1.381895923,1.762570242,1.265723094,1.19701233,2.03331561,1.27874357
1.61143424,1.836855669,1.266284788,1.112581441,1.25958673,1.300045
1.466950372,1.195348802,1.263742092,1.092874288,1.24612167,1.23832843
1.51586638,1.977292265,1.52177781,1.019315489,0.9876,0.89154107
1.88,1.924160951,1.597953767,1.024591798,1.43240537,0.79243055
0.89,1.433116991,1.695435216,1.106920872,1.53177993,1.1139305
,0.732900382,1.716824677,1.014081907,1.50354639,0.92706533
,1.921521724,1.735943941,1.013628353,1.18789449,0.89392475
,,1.66,0.78,1.02928269,0.74475528
,,1.57,,0.8374,1.0462763
,,0.75,,1.79460692,0.81163527
,,,,2.17737903,1.20356444
,,,,1.93236891,0.92516791
,,,,1.79376035,1.88443248
,,,,2.08069327,1.84075593
,,,,1.75037998,1.85979022
,,,,1.7327628,1.89732522
,,,,1.8995058,1.82781114
,,,,1.77616122,1.83594702
,,,,1.81467194,1.51239794
,,,,1.83771806,1.6058735
,,,,1.79010426,1.27878572
,,,,1.77222653,1.35323112
