1,5,20,50
0.771069,1.282279,1.111771,1.805335
0.845187,1.377585,1.036435,1.713297
0.807314,1.399447,1.023194,1.794225
0.78136,1.385799,1.010707,1.655642
0.763707,1.322112,1.015617,1.732998
0.754884,1.25694,1.101838,1.608272
0.590241,1.273895,1.060393,1.537866
0.74348,1.4786,1.077737,1.630373
0.720395,1.02837,1.081432,1.53473
0.674016,1.164226,1.11102,1.44715
0.98,1.12314,1.212428,1.497286
0.78,1.147001,1.143228,1.376331
0.9476,1.050246,1.326142,1.178444
0.87354,1.117749,1.286727,1.042772
0.684305,1.069866,1.278952,1.186435
0.88,1.009903,1.337981,1.345205
0.78465,1.045925,1.356274,1.249071
0.774653,1.051048,1.281737,1.482649
0.911057,1.004691,1.298659,1.475578
0.775123,1.036797,1.269432,1.551501
0.754853,1.013038,1.224526,1.564634
0.77509,1.086196,1.327956,1.3
0.85764,1.067675,1.374473,1.32
0.887565,1.657138,1.287431,1.25
0.885535,1.488224,1.712418,0.87
0.830956,1.657285,1.726129,1.1
0.775123,1.683599,1.772325,1.35
0.754853,1.508735,1.564375,1.345795
0.77509,1.478055,1.780835,1.445587
0.78,1.39331,1.621022,1.408682
0.706136,1.328415,1.648829,1.389507
0.65786,1.36475,1.580755,1.396487
0.785645,1.335206,1.534572,1.302052
0.657849,1.394202,1.560585,1.331496
0.621465,1.344825,1.295809,1.204773
0.691149,1.347946,1.239938,1.012473
0.695137,1.266252,1.242689,1.851746
0.986473,1.19381,1.242628,1.543956
0.874763,1.260091,1.205287,1.493256
0.784643,1.171717,1.193071,1.442848
0.713718,1.309186,1.096459,1.370222
0.987427,1.251113,1.044169,1.40662
1.145769,1.256924,0.947808,1.468734
1.065038,1.416867,0.822195,1.56342
1.033107,1.213353,,1.571988
0.833276,1.234997,,1.685741
0.790601,1.152016,,0.719107
0.767709,1.387066,,0.65526
0.733893,1.415055,,0.730225
0.772109,1.007923,,0.765294
0.887318,1.000973,,0.828535
0.705167,1.085537,,0.825667
0.755087,0.898365,,1.057925
0.757721,0.835925,,0.956911
0.782181,0.863575,,0.910289
0.783986,0.845187,,0.864299
0.789528,0.807314,,0.77499
0.716846,0.78136,,0.775397
0.608051,0.763707,,0.691504
0.588268,0.654884,,0.788033
,,,0.68598
,,,0.60427
,,,0.616027
